pow,pos,poa,algorand,conn_two,conn_many
0.0,0.02,0.0,0.0,0.22,0.16
0.02,0.04,0.0,0.0,0.26,0.02
0.02,0.0,0.0,0.0,0.26,0.26
0.02,0.02,0.0,0.0,0.28,0.02
0.0,0.08,0.0,0.0,0.26,0.1
0.02,0.0,0.0,0.0,0.28,0.1
0.0,0.02,0.0,0.0,0.3,0.06
0.0,0.02,0.0,0.0,0.34,0.12
0.02,0.0,0.0,0.0,0.24,0.12
0.06,0.1,0.0,0.0,0.28,0.08
0.0,0.0,0.0,0.0,0.28,0.22
0.02,0.0,0.0,0.0,0.14,0.08
0.04,0.02,0.0,0.0,0.18,0.12
0.0,0.0,0.0,0.0,0.16,0.12
0.02,0.02,0.0,0.0,0.24,0.16
0.0,0.02,0.0,0.0,0.36,0.08
0.0,0.0,0.0,0.0,0.12,0.04
0.1,0.0,0.0,0.0,0.2,0.1
0.0,0.02,0.0,0.0,0.26,0.12
0.0,0.0,0.0,0.0,0.34,0.18
0.0,0.0,0.0,0.0,0.24,0.1
0.0,0.0,0.0,0.0,0.22,0.08
0.1,0.0,0.0,0.0,0.22,0.16
0.0,0.54,0.08,0.0,0.16,0.0
0.0,0.0,0.0,0.0,0.14,0.06
0.04,0.04,0.0,0.0,0.18,0.14
0.02,0.0,0.0,0.0,0.22,0.08
0.02,0.0,0.0,0.0,0.28,0.12
0.0,0.04,0.0,0.0,0.2,0.14
0.04,0.0,0.0,0.0,0.12,0.14
0.0,0.0,0.0,0.0,0.3,0.3
0.0,0.0,0.0,0.0,0.26,0.08
0.0,0.0,0.0,0.0,0.22,0.14
0.0,0.08,0.0,0.0,0.44,0.2
0.0,0.0,0.0,0.0,0.34,0.14
0.0,0.0,0.0,0.0,0.4,0.12
0.06,0.0,0.0,0.0,0.18,0.16
0.46,0.0,0.0,0.0,0.3,0.14
0.0,0.06,0.0,0.0,0.24,0.14
0.02,0.0,0.0,0.0,0.18,0.18
0.0,0.0,0.0,0.0,0.24,0.08
0.0,0.0,0.0,0.0,0.16,0.12
0.0,0.0,0.0,0.0,0.14,0.08
0.0,0.0,0.0,0.0,0.22,0.1
0.0,0.0,0.0,0.0,0.32,0.24
0.0,0.04,0.0,0.0,0.24,0.14
0.0,0.0,0.0,0.0,0.34,0.06
0.0,0.0,0.0,0.0,0.26,0.16
0.0,0.0,0.0,0.0,0.24,0.08
0.04,0.02,0.0,0.0,0.28,0.16
0.22,0.0,0.0,0.0,0.18,0.08
0.06,0.04,0.0,0.0,0.22,0.16
0.02,0.02,0.0,0.0,0.22,0.14
0.0,0.0,0.0,0.0,0.28,0.12
0.02,0.0,0.0,0.0,0.42,0.12
0.04,0.0,0.0,0.0,0.24,0.08
0.0,0.02,0.0,0.0,0.22,0.18
0.0,0.04,0.0,0.0,0.34,0.18
0.24,0.0,0.0,0.0,0.14,0.06
0.0,0.0,0.0,0.0,0.2,0.08
0.0,0.0,0.0,0.0,0.34,0.16
0.0,0.0,0.0,0.0,0.2,0.06
0.0,0.04,0.0,0.0,0.22,0.14
0.0,0.08,0.0,0.0,0.26,0.1
0.04,0.0,0.0,0.0,0.14,0.08
0.0,0.02,0.0,0.0,0.28,0.14
0.0,0.0,0.0,0.0,0.24,0.18
0.0,0.06,0.0,0.0,0.3,0.14
0.0,0.02,0.0,0.0,0.3,0.12
0.0,0.02,0.0,0.0,0.36,0.16
0.0,0.02,0.0,0.0,0.16,0.06
0.02,0.0,0.0,0.0,0.24,0.1
0.02,0.04,0.0,0.0,0.24,0.2
0.02,0.0,0.0,0.0,0.28,0.16
0.0,0.06,0.0,0.0,0.2,0.16
0.02,0.0,0.0,0.0,0.18,0.1
0.0,0.0,0.0,0.0,0.22,0.12
0.0,0.02,0.0,0.0,0.22,0.22
0.0,0.0,0.0,0.0,0.22,0.1
0.02,0.0,0.0,0.0,0.22,0.08
0.02,0.02,0.0,0.0,0.24,0.18
0.28,0.0,0.0,0.0,0.22,0.08
0.0,0.0,0.0,0.0,0.2,0.16
0.0,0.0,0.0,0.0,0.28,0.08
0.0,0.0,0.0,0.0,0.24,0.16
0.02,0.0,0.0,0.0,0.24,0.1
0.12,0.06,0.0,0.0,0.18,0.12
0.04,0.02,0.0,0.0,0.26,0.1
0.0,0.16,0.0,0.0,0.12,0.14
0.0,0.0,0.0,0.0,0.2,0.12
0.0,0.0,0.0,0.0,0.24,0.12
0.0,0.02,0.0,0.0,0.22,0.12
0.08,0.06,0.0,0.0,0.22,0.08
0.02,0.06,0.0,0.0,0.16,0.08
0.0,0.0,0.0,0.0,0.24,0.14
0.0,0.0,0.0,0.0,0.16,0.06
0.02,0.0,0.0,0.0,0.26,0.06
0.02,0.0,0.0,0.0,0.28,0.14
0.0,0.02,0.0,0.0,0.1,0.06
0.0,0.04,0.0,0.0,0.14,0.1
0.16,0.04,0.0,0.0,0.26,0.14
0.0,0.0,0.0,0.0,0.22,0.14
0.0,0.02,0.0,0.0,0.28,0.2
0.0,0.02,0.0,0.0,0.3,0.14
0.0,0.0,0.0,0.0,0.32,0.22
0.02,0.0,0.0,0.0,0.18,0.02
0.04,0.08,0.0,0.0,0.22,0.04
0.02,0.0,0.0,0.0,0.26,0.18
0.0,0.0,0.0,0.0,0.22,0.12
0.0,0.0,0.0,0.0,0.24,0.2
0.02,0.0,0.0,0.0,0.14,0.14
0.0,0.0,0.0,0.0,0.24,0.1
0.04,0.0,0.0,0.0,0.28,0.06
0.0,0.4,0.02,0.0,0.16,0.14
0.0,0.0,0.0,0.0,0.2,0.1
0.0,0.14,0.0,0.0,0.2,0.08
0.04,0.04,0.0,0.0,0.14,0.16
0.02,0.0,0.0,0.0,0.24,0.08
0.0,0.0,0.0,0.0,0.12,0.2
0.04,0.0,0.0,0.0,0.12,0.08
0.0,0.02,0.0,0.0,0.22,0.18
0.0,0.0,0.0,0.0,0.22,0.2
0.0,0.0,0.0,0.0,0.34,0.1
0.0,0.0,0.0,0.0,0.3,0.24
0.0,0.0,0.0,0.0,0.12,0.14
0.02,0.0,0.0,0.0,0.16,0.04
0.02,0.0,0.0,0.0,0.2,0.08
0.0,0.0,0.0,0.0,0.2,0.04
0.0,0.0,0.0,0.0,0.28,0.1
0.02,0.0,0.0,0.0,0.3,0.16
0.0,0.0,0.0,0.0,0.3,0.06
0.0,0.04,0.0,0.0,0.2,0.08
0.04,0.0,0.0,0.0,0.28,0.08
0.0,0.0,0.0,0.0,0.16,0.1
0.02,0.02,0.0,0.0,0.24,0.08
0.06,0.0,0.0,0.0,0.26,0.16
0.06,0.0,0.0,0.0,0.2,0.06
0.0,0.02,0.0,0.0,0.26,0.16
0.0,0.0,0.0,0.0,0.32,0.12
0.02,0.0,0.0,0.0,0.18,0.06
0.02,0.0,0.0,0.0,0.12,0.06
0.18,0.02,0.0,0.0,0.18,0.1
0.0,0.02,0.0,0.0,0.26,0.1
0.02,0.0,0.0,0.0,0.22,0.1
0.02,0.04,0.0,0.0,0.18,0.08
0.0,0.02,0.0,0.0,0.24,0.06
0.02,0.0,0.0,0.0,0.24,0.1
0.0,0.0,0.0,0.0,0.16,0.12
0.02,0.0,0.0,0.0,0.2,0.1
0.0,0.0,0.0,0.0,0.2,0.1
0.02,0.02,0.0,0.0,0.22,0.12
0.02,0.0,0.0,0.0,0.36,0.12
0.18,0.0,0.0,0.0,0.24,0.14
0.0,0.0,0.0,0.0,0.26,0.14
0.04,0.0,0.0,0.0,0.22,0.16
0.02,0.0,0.0,0.0,0.3,0.1
0.02,0.04,0.0,0.0,0.22,0.14
0.0,0.0,0.0,0.0,0.26,0.06
0.0,0.0,0.0,0.0,0.2,0.08
0.02,0.06,0.0,0.0,0.18,0.14
0.0,0.02,0.0,0.0,0.22,0.06
0.0,0.0,0.0,0.0,0.28,0.12
0.0,0.0,0.0,0.0,0.28,0.04
0.0,0.0,0.0,0.0,0.22,0.08
0.04,0.0,0.0,0.0,0.24,0.04
0.02,0.02,0.0,0.0,0.24,0.08
0.0,0.02,0.0,0.0,0.28,0.06
0.0,0.0,0.0,0.0,0.28,0.16
0.0,0.0,0.0,0.0,0.16,0.18
0.0,0.0,0.0,0.0,0.26,0.1
0.0,0.0,0.0,0.0,0.26,0.1
0.0,0.0,0.0,0.0,0.3,0.1
0.02,0.0,0.0,0.0,0.32,0.12
0.08,0.0,0.0,0.0,0.2,0.08
0.0,0.0,0.0,0.0,0.18,0.2
0.02,0.0,0.0,0.0,0.14,0.14
0.0,0.0,0.0,0.0,0.12,0.06
0.02,0.02,0.0,0.0,0.2,0.1
0.0,0.0,0.0,0.0,0.26,0.06
0.0,0.0,0.0,0.0,0.26,0.02
0.0,0.0,0.0,0.0,0.22,0.08
0.02,0.02,0.0,0.0,0.28,0.12
0.0,0.0,0.0,0.0,0.16,0.12
0.0,0.1,0.0,0.0,0.36,0.1
0.0,0.0,0.0,0.0,0.16,0.06
0.0,0.0,0.0,0.0,0.26,0.1
0.0,0.0,0.0,0.0,0.34,0.16
0.0,0.02,0.0,0.0,0.14,0.06
0.0,0.02,0.0,0.0,0.16,0.04
0.04,0.02,0.0,0.0,0.22,0.08
0.02,0.0,0.0,0.0,0.28,0.16
0.02,0.04,0.0,0.0,0.14,0.08
0.02,0.16,0.0,0.0,0.3,0.2
0.0,0.02,0.0,0.0,0.26,0.08
0.04,0.0,0.0,0.0,0.28,0.0
0.0,0.0,0.0,0.0,0.26,0.06
0.0,0.0,0.0,0.0,0.24,0.14
0.0,0.04,0.0,0.0,0.32,0.08
0.0,0.04,0.0,0.0,0.26,0.18
0.0,0.04,0.0,0.0,0.28,0.12
0.0,0.0,0.0,0.0,0.16,0.12
0.0,0.0,0.0,0.0,0.26,0.08
0.02,0.0,0.0,0.0,0.24,0.12
0.0,0.0,0.0,0.0,0.16,0.1
0.0,0.04,0.0,0.0,0.3,0.24
0.02,0.0,0.0,0.0,0.24,0.2
0.02,0.0,0.0,0.0,0.16,0.14
0.0,0.02,0.0,0.0,0.18,0.08
0.06,0.0,0.0,0.0,0.26,0.08
0.08,0.02,0.0,0.0,0.26,0.14
0.0,0.02,0.0,0.0,0.22,0.04
0.0,0.04,0.0,0.0,0.28,0.14
0.02,0.0,0.0,0.0,0.22,0.16
0.0,0.0,0.0,0.0,0.18,0.08
0.02,0.0,0.0,0.0,0.22,0.18
0.0,0.0,0.0,0.0,0.26,0.1
0.0,0.0,0.0,0.0,0.24,0.14
0.02,0.0,0.0,0.0,0.3,0.12
0.0,0.0,0.0,0.0,0.28,0.06
0.02,0.02,0.0,0.0,0.26,0.12
0.0,0.0,0.0,0.0,0.28,0.14
0.0,0.02,0.0,0.0,0.32,0.14
0.0,0.0,0.0,0.0,0.2,0.14
0.0,0.06,0.0,0.0,0.28,0.12
0.02,0.02,0.0,0.0,0.3,0.06
0.04,0.0,0.0,0.0,0.14,0.16
0.0,0.24,0.0,0.0,0.12,0.08
0.0,0.02,0.0,0.0,0.16,0.08
0.02,0.0,0.0,0.0,0.3,0.16
0.0,0.04,0.0,0.0,0.14,0.04
0.0,0.12,0.0,0.0,0.2,0.16
0.02,0.06,0.0,0.0,0.24,0.06
0.02,0.0,0.0,0.0,0.22,0.08
0.0,0.0,0.0,0.0,0.14,0.12
0.0,0.0,0.0,0.0,0.24,0.06
0.02,0.0,0.0,0.0,0.26,0.06
0.1,0.0,0.0,0.0,0.32,0.16
0.0,0.02,0.0,0.0,0.2,0.1
0.0,0.0,0.0,0.0,0.26,0.22
0.0,0.02,0.0,0.0,0.22,0.22
0.0,0.0,0.0,0.0,0.26,0.18
0.0,0.0,0.0,0.0,0.24,0.06
0.02,0.0,0.0,0.0,0.16,0.12
0.0,0.0,0.0,0.0,0.34,0.14
0.04,0.02,0.0,0.0,0.24,0.12
0.0,0.0,0.0,0.0,0.26,0.08
0.02,0.0,0.0,0.0,0.22,0.0
0.0,0.0,0.0,0.0,0.24,0.1
0.0,0.0,0.0,0.0,0.22,0.16
0.0,0.0,0.0,0.0,0.26,0.18
0.0,0.0,0.0,0.0,0.14,0.14
0.0,0.04,0.0,0.0,0.26,0.08
0.0,0.0,0.0,0.0,0.26,0.1
0.0,0.0,0.0,0.0,0.26,0.22
0.0,0.0,0.0,0.0,0.2,0.04
0.0,0.1,0.0,0.0,0.26,0.16
0.0,0.0,0.0,0.0,0.2,0.12
0.0,0.02,0.0,0.0,0.28,0.08
0.0,0.0,0.0,0.0,0.1,0.02
0.0,0.02,0.0,0.0,0.22,0.24
0.0,0.0,0.0,0.0,0.16,0.02
0.0,0.0,0.0,0.0,0.16,0.04
0.0,0.0,0.0,0.0,0.28,0.06
0.02,0.0,0.0,0.0,0.26,0.12
0.02,0.0,0.0,0.0,0.26,0.16
0.0,0.0,0.0,0.0,0.08,0.08
0.02,0.0,0.0,0.0,0.24,0.16
0.0,0.02,0.0,0.0,0.24,0.12
0.0,0.0,0.0,0.0,0.32,0.14
0.0,0.02,0.0,0.0,0.32,0.12
0.0,0.0,0.0,0.0,0.16,0.16
0.0,0.0,0.0,0.0,0.3,0.14
0.0,0.04,0.0,0.0,0.24,0.14
0.0,0.0,0.0,0.0,0.16,0.08
0.0,0.0,0.0,0.0,0.14,0.18
0.08,0.02,0.0,0.0,0.32,0.16
0.0,0.0,0.0,0.0,0.32,0.14
0.0,0.0,0.0,0.0,0.32,0.04
0.02,0.0,0.0,0.0,0.28,0.14
0.0,0.06,0.0,0.0,0.3,0.06
0.02,0.02,0.0,0.0,0.24,0.1
0.0,0.0,0.0,0.0,0.16,0.14
0.0,0.0,0.0,0.0,0.2,0.06
0.0,0.0,0.0,0.0,0.2,0.14
0.04,0.0,0.0,0.0,0.18,0.04
0.0,0.0,0.0,0.0,0.24,0.2
0.0,0.06,0.0,0.0,0.22,0.08
0.0,0.0,0.0,0.0,0.26,0.12
0.0,0.0,0.0,0.0,0.18,0.1
0.08,0.0,0.0,0.0,0.18,0.1
0.04,0.1,0.0,0.0,0.24,0.04
0.0,0.0,0.0,0.0,0.24,0.06
0.0,0.0,0.0,0.0,0.32,0.1
0.02,0.04,0.0,0.0,0.34,0.14
0.0,0.28,0.0,0.0,0.16,0.16
0.0,0.0,0.0,0.0,0.24,0.14
0.02,0.0,0.0,0.0,0.2,0.1
0.04,0.0,0.0,0.0,0.18,0.08
0.0,0.02,0.0,0.0,0.36,0.02
0.04,0.04,0.0,0.0,0.22,0.24
0.04,0.0,0.0,0.0,0.24,0.08
0.02,0.0,0.0,0.0,0.26,0.12
0.08,0.0,0.0,0.0,0.3,0.1
0.0,0.0,0.0,0.0,0.12,0.06
0.16,0.0,0.0,0.0,0.26,0.06
0.0,0.02,0.0,0.0,0.16,0.08
0.0,0.0,0.0,0.0,0.24,0.12
0.0,0.0,0.0,0.0,0.2,0.16
0.0,0.02,0.0,0.0,0.26,0.2
0.0,0.06,0.0,0.0,0.24,0.18
0.02,0.06,0.0,0.0,0.24,0.18
0.0,0.0,0.0,0.0,0.14,0.1
0.0,0.0,0.0,0.0,0.16,0.18
0.04,0.0,0.0,0.0,0.12,0.16
0.46,0.02,0.0,0.0,0.22,0.1
0.0,0.0,0.0,0.0,0.24,0.06
0.72,0.0,0.0,0.0,0.16,0.06
0.04,0.0,0.0,0.0,0.18,0.1
0.0,0.0,0.0,0.0,0.2,0.04
0.04,0.02,0.0,0.0,0.18,0.16
0.0,0.0,0.0,0.0,0.16,0.08
0.0,0.0,0.0,0.0,0.36,0.04
0.0,0.0,0.0,0.0,0.08,0.08
0.36,0.0,0.0,0.0,0.12,0.14
0.0,0.1,0.0,0.0,0.16,0.22
0.0,0.0,0.0,0.0,0.26,0.18
0.0,0.02,0.0,0.0,0.32,0.24
0.0,0.02,0.0,0.0,0.26,0.22
0.16,0.02,0.0,0.0,0.26,0.24
0.0,0.0,0.0,0.0,0.16,0.16
0.0,0.0,0.0,0.0,0.2,0.14
0.02,0.0,0.0,0.0,0.14,0.12
0.02,0.02,0.0,0.0,0.24,0.14
0.0,0.04,0.0,0.0,0.12,0.12
0.0,0.0,0.0,0.0,0.28,0.1
0.04,0.06,0.0,0.0,0.36,0.1
0.0,0.04,0.0,0.0,0.2,0.04
0.08,0.0,0.0,0.0,0.3,0.12
0.0,0.0,0.0,0.0,0.2,0.18
0.02,0.0,0.0,0.0,0.16,0.06
0.0,0.0,0.0,0.0,0.3,0.14
0.0,0.08,0.0,0.0,0.18,0.12
0.0,0.0,0.0,0.0,0.16,0.04
0.0,0.0,0.0,0.0,0.22,0.04
0.0,0.0,0.0,0.0,0.22,0.12
0.0,0.0,0.0,0.0,0.2,0.14
0.02,0.0,0.0,0.0,0.12,0.22
0.0,0.0,0.0,0.0,0.22,0.3
0.0,0.04,0.0,0.0,0.22,0.24
0.0,0.1,0.0,0.0,0.22,0.16
0.06,0.0,0.0,0.0,0.16,0.1
0.1,0.02,0.0,0.0,0.3,0.18
0.0,0.0,0.0,0.0,0.22,0.06
0.0,0.04,0.0,0.0,0.16,0.12
0.0,0.0,0.0,0.0,0.26,0.08
0.04,0.02,0.0,0.0,0.16,0.12
0.0,0.02,0.0,0.0,0.18,0.06
0.0,0.04,0.0,0.0,0.16,0.1
0.0,0.02,0.0,0.0,0.24,0.28
0.02,0.0,0.0,0.0,0.34,0.06
0.0,0.02,0.0,0.0,0.24,0.14
0.0,0.06,0.0,0.0,0.24,0.08
0.0,0.0,0.0,0.0,0.18,0.1
0.0,0.1,0.0,0.0,0.28,0.08
0.02,0.0,0.0,0.0,0.3,0.1
0.06,0.02,0.0,0.0,0.22,0.06
0.0,0.0,0.0,0.0,0.16,0.14
0.0,0.0,0.0,0.0,0.22,0.08
0.04,0.02,0.0,0.0,0.22,0.1
0.0,0.02,0.0,0.0,0.12,0.12
0.0,0.02,0.0,0.0,0.32,0.12
0.04,0.0,0.0,0.0,0.2,0.1
0.0,0.12,0.0,0.0,0.18,0.06
0.0,0.0,0.0,0.0,0.36,0.14
0.02,0.04,0.0,0.0,0.16,0.14
0.0,0.0,0.0,0.0,0.1,0.04
0.18,0.0,0.0,0.0,0.26,0.1
0.02,0.0,0.0,0.0,0.28,0.04
0.02,0.0,0.0,0.0,0.12,0.02
0.0,0.0,0.0,0.0,0.3,0.1
0.0,0.02,0.0,0.0,0.32,0.1
0.0,0.0,0.0,0.0,0.42,0.2
0.04,0.0,0.0,0.0,0.38,0.2
0.0,0.0,0.0,0.0,0.16,0.1
0.08,0.04,0.0,0.0,0.2,0.08
0.02,0.0,0.0,0.0,0.2,0.06
0.02,0.04,0.0,0.0,0.18,0.2
0.0,0.0,0.0,0.0,0.16,0.12
0.0,0.04,0.0,0.0,0.22,0.08
0.0,0.0,0.0,0.0,0.22,0.14
0.0,0.0,0.0,0.0,0.22,0.14
0.02,0.02,0.0,0.0,0.16,0.18
0.02,0.02,0.0,0.0,0.22,0.16
0.0,0.02,0.0,0.0,0.26,0.1
0.0,0.0,0.0,0.0,0.26,0.04
0.0,0.02,0.0,0.0,0.18,0.12
0.0,0.0,0.0,0.0,0.16,0.18
0.14,0.0,0.0,0.0,0.24,0.14
0.0,0.0,0.0,0.0,0.16,0.1
0.02,0.0,0.0,0.0,0.32,0.14
0.0,0.04,0.0,0.0,0.3,0.06
0.0,0.0,0.0,0.0,0.14,0.12
0.08,0.0,0.0,0.0,0.24,0.04
0.0,0.0,0.0,0.0,0.26,0.08
0.0,0.02,0.0,0.0,0.2,0.14
0.0,0.0,0.0,0.0,0.24,0.1
0.02,0.02,0.0,0.0,0.16,0.16
0.0,0.1,0.0,0.0,0.34,0.14
0.02,0.0,0.0,0.0,0.22,0.14
0.0,0.0,0.0,0.0,0.2,0.04
0.02,0.02,0.0,0.0,0.14,0.06
0.0,0.0,0.0,0.0,0.22,0.0
0.0,0.0,0.0,0.0,0.18,0.2
0.0,0.0,0.0,0.0,0.34,0.06
0.0,0.04,0.0,0.0,0.2,0.14
0.0,0.0,0.0,0.0,0.34,0.16
0.18,0.08,0.0,0.0,0.18,0.24
0.3,0.0,0.0,0.0,0.18,0.12
0.0,0.04,0.0,0.0,0.16,0.12
