pow,pos,poa,algorand,ouroboros,avalanche,fnp2,con_two,con_many,majority
0.02,0.28,0.0,0.0,0.0,0.0,0.48,0.64,0.76,0.42
0.0,0.02,0.0,0.0,0.0,0.0,0.58,0.58,0.72,0.56
0.02,0.0,0.0,0.0,0.0,0.0,0.5,0.6,0.7,0.46
0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.82,0.78,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.66,0.76,0.5
0.18,0.0,0.0,0.0,0.0,0.0,0.42,0.74,0.66,0.64
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.78,0.76,0.5
0.0,0.22,0.0,0.0,0.0,0.0,0.4,0.64,0.82,0.5
0.06,0.0,0.0,0.0,0.0,0.0,0.54,0.6,0.66,0.56
0.0,0.08,0.0,0.0,0.0,0.0,0.58,0.66,0.62,0.38
0.02,0.0,0.0,0.0,0.0,0.0,0.44,0.66,0.78,0.48
0.02,0.02,0.0,0.0,0.0,0.0,0.52,0.66,0.74,0.46
0.02,0.0,0.0,0.0,0.0,0.0,0.6,0.66,0.72,0.6
0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.68,0.84,0.56
0.0,0.04,0.0,0.0,0.0,0.0,0.46,0.64,0.74,0.6
0.02,0.0,0.0,0.0,0.0,0.0,0.56,0.72,0.82,0.34
0.02,0.0,0.0,0.0,0.0,0.0,0.54,0.56,0.84,0.46
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.58,0.7,0.36
0.02,0.0,0.0,0.0,0.0,0.0,0.6,0.64,0.78,0.46
0.02,0.04,0.0,0.0,0.0,0.0,0.38,0.66,0.78,0.62
0.02,0.0,0.0,0.0,0.0,0.0,0.4,0.54,0.8,0.44
0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.6,0.7,0.38
0.0,0.04,0.0,0.0,0.0,0.0,0.44,0.68,0.78,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.56,0.72,0.48
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.72,0.72,0.54
0.02,0.0,0.0,0.0,0.0,0.0,0.5,0.74,0.82,0.54
0.02,0.0,0.0,0.0,0.0,0.0,0.46,0.62,0.7,0.64
0.0,0.18,0.0,0.0,0.0,0.0,0.52,0.72,0.7,0.6
0.0,0.44,0.02,0.0,0.0,0.0,0.56,0.62,0.78,0.48
0.22,0.0,0.0,0.0,0.0,0.0,0.4,0.74,0.66,0.58
0.04,0.0,0.0,0.0,0.0,0.0,0.44,0.66,0.78,0.48
0.0,0.02,0.0,0.0,0.0,0.0,0.42,0.76,0.62,0.5
0.02,0.0,0.0,0.0,0.0,0.0,0.52,0.78,0.7,0.38
0.04,0.0,0.0,0.0,0.0,0.0,0.42,0.6,0.62,0.52
0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.74,0.88,0.44
0.02,0.08,0.0,0.0,0.0,0.0,0.62,0.68,0.66,0.58
0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.58,0.78,0.46
0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.7,0.8,0.5
0.02,0.02,0.0,0.0,0.0,0.0,0.58,0.7,0.74,0.4
0.0,0.22,0.0,0.0,0.0,0.0,0.46,0.66,0.7,0.56
0.0,0.02,0.0,0.0,0.0,0.0,0.42,0.58,0.76,0.64
0.0,0.02,0.0,0.0,0.0,0.0,0.4,0.68,0.76,0.56
0.0,0.1,0.0,0.0,0.0,0.0,0.5,0.66,0.66,0.52
0.02,0.0,0.0,0.0,0.0,0.0,0.56,0.76,0.74,0.46
0.0,0.1,0.0,0.0,0.0,0.0,0.54,0.64,0.78,0.4
0.04,0.02,0.0,0.0,0.0,0.0,0.5,0.66,0.84,0.56
0.0,0.26,0.0,0.0,0.0,0.0,0.56,0.66,0.78,0.42
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.56,0.72,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.68,0.62,0.44
0.0,0.02,0.0,0.0,0.0,0.0,0.56,0.66,0.78,0.58
0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.62,0.76,0.4
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.54,0.72,0.48
0.06,0.04,0.0,0.0,0.0,0.0,0.66,0.64,0.78,0.54
0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.82,0.66,0.62
0.0,0.04,0.0,0.0,0.0,0.0,0.42,0.64,0.78,0.36
0.0,0.04,0.0,0.0,0.0,0.0,0.42,0.68,0.72,0.42
0.06,0.0,0.0,0.0,0.0,0.0,0.52,0.62,0.68,0.46
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.72,0.8,0.5
0.16,0.02,0.0,0.0,0.0,0.0,0.44,0.6,0.84,0.54
0.0,0.1,0.0,0.0,0.0,0.0,0.46,0.56,0.64,0.38
0.04,0.02,0.0,0.0,0.0,0.0,0.4,0.58,0.72,0.6
0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.56,0.76,0.48
0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.7,0.62,0.42
0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.74,0.72,0.36
0.0,0.02,0.0,0.0,0.0,0.0,0.54,0.66,0.82,0.6
0.42,0.0,0.0,0.0,0.0,0.0,0.38,0.7,0.88,0.42
0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.68,0.78,0.7
0.02,0.0,0.0,0.0,0.0,0.0,0.64,0.68,0.78,0.44
0.04,0.02,0.0,0.0,0.0,0.0,0.52,0.82,0.76,0.56
0.1,0.08,0.0,0.0,0.0,0.0,0.46,0.74,0.74,0.54
0.18,0.0,0.0,0.0,0.0,0.0,0.32,0.7,0.72,0.5
0.02,0.0,0.0,0.0,0.0,0.0,0.48,0.66,0.82,0.64
0.0,0.32,0.0,0.0,0.0,0.0,0.56,0.72,0.74,0.5
0.06,0.0,0.0,0.0,0.0,0.0,0.4,0.72,0.72,0.6
0.1,0.0,0.0,0.0,0.0,0.0,0.46,0.64,0.78,0.4
0.02,0.0,0.0,0.0,0.0,0.0,0.52,0.68,0.68,0.42
0.0,0.06,0.0,0.0,0.0,0.0,0.5,0.64,0.76,0.52
0.0,0.04,0.0,0.0,0.0,0.0,0.44,0.6,0.84,0.52
0.0,0.04,0.0,0.0,0.0,0.0,0.42,0.68,0.66,0.52
0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.76,0.66,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.7,0.76,0.46
0.0,0.02,0.0,0.0,0.0,0.0,0.48,0.78,0.76,0.5
0.18,0.0,0.0,0.0,0.0,0.0,0.44,0.72,0.7,0.48
0.18,0.08,0.0,0.0,0.0,0.0,0.44,0.72,0.82,0.58
0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.66,0.76,0.5
0.02,0.0,0.0,0.0,0.0,0.0,0.56,0.58,0.84,0.48
0.02,0.3,0.0,0.0,0.0,0.0,0.44,0.78,0.8,0.42
0.06,0.0,0.0,0.0,0.0,0.0,0.46,0.7,0.84,0.5
0.0,0.02,0.0,0.0,0.0,0.0,0.58,0.66,0.76,0.46
0.0,0.04,0.0,0.0,0.0,0.0,0.6,0.74,0.72,0.46
0.02,0.0,0.0,0.0,0.0,0.0,0.42,0.76,0.82,0.4
0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.74,0.8,0.56
0.0,0.1,0.0,0.0,0.0,0.0,0.58,0.64,0.8,0.54
0.02,0.04,0.0,0.0,0.0,0.0,0.58,0.76,0.74,0.52
0.02,0.0,0.0,0.0,0.0,0.0,0.38,0.6,0.66,0.6
0.02,0.0,0.0,0.0,0.0,0.0,0.46,0.58,0.66,0.54
0.06,0.02,0.0,0.0,0.0,0.0,0.6,0.66,0.7,0.42
0.0,0.02,0.0,0.0,0.0,0.0,0.42,0.66,0.82,0.52
0.02,0.0,0.0,0.0,0.0,0.0,0.36,0.62,0.78,0.52
0.06,0.2,0.0,0.0,0.0,0.0,0.5,0.7,0.8,0.52
0.0,0.02,0.0,0.0,0.0,0.0,0.44,0.74,0.74,0.5
0.04,0.04,0.0,0.0,0.0,0.0,0.52,0.66,0.58,0.56
0.02,0.02,0.0,0.0,0.0,0.0,0.52,0.68,0.8,0.44
0.0,0.06,0.0,0.0,0.0,0.0,0.52,0.68,0.7,0.48
0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.64,0.72,0.44
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.68,0.68,0.58
0.02,0.0,0.0,0.0,0.0,0.0,0.48,0.7,0.84,0.68
0.08,0.0,0.0,0.0,0.0,0.0,0.4,0.74,0.7,0.52
0.02,0.04,0.0,0.0,0.0,0.0,0.56,0.7,0.64,0.52
0.04,0.0,0.0,0.0,0.0,0.0,0.52,0.7,0.8,0.56
0.18,0.0,0.0,0.0,0.0,0.0,0.4,0.58,0.68,0.6
0.0,0.06,0.0,0.0,0.0,0.0,0.32,0.76,0.72,0.6
0.1,0.02,0.0,0.0,0.0,0.0,0.52,0.68,0.7,0.54
0.0,0.02,0.0,0.0,0.0,0.0,0.56,0.62,0.82,0.52
0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.52,0.74,0.54
0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.7,0.78,0.42
0.22,0.0,0.0,0.0,0.0,0.0,0.42,0.64,0.6,0.6
0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.64,0.82,0.62
0.22,0.0,0.0,0.0,0.0,0.0,0.54,0.68,0.7,0.32
0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.7,0.78,0.56
0.02,0.02,0.0,0.0,0.0,0.0,0.42,0.62,0.8,0.6
0.0,0.2,0.0,0.0,0.0,0.0,0.38,0.68,0.84,0.56
0.02,0.04,0.0,0.0,0.0,0.0,0.56,0.66,0.64,0.34
0.02,0.0,0.0,0.0,0.0,0.0,0.46,0.6,0.72,0.46
0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.6,0.8,0.56
0.24,0.04,0.0,0.0,0.0,0.0,0.46,0.58,0.7,0.42
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.52,0.72,0.58
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.66,0.66,0.38
0.04,0.0,0.0,0.0,0.0,0.0,0.48,0.54,0.72,0.6
0.18,0.0,0.0,0.0,0.0,0.0,0.6,0.62,0.58,0.48
0.02,0.0,0.0,0.0,0.0,0.0,0.52,0.68,0.84,0.52
0.0,0.02,0.0,0.0,0.0,0.0,0.44,0.52,0.82,0.48
0.0,0.02,0.0,0.0,0.0,0.0,0.54,0.66,0.74,0.54
0.0,0.02,0.0,0.0,0.0,0.0,0.52,0.66,0.84,0.54
0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.72,0.84,0.52
0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.74,0.7,0.38
0.0,0.04,0.0,0.0,0.0,0.0,0.46,0.74,0.68,0.56
0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.76,0.72,0.4
0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.62,0.68,0.48
0.0,0.02,0.0,0.0,0.0,0.0,0.58,0.72,0.74,0.52
0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.68,0.76,0.46
0.16,0.3,0.0,0.0,0.0,0.0,0.4,0.6,0.82,0.36
0.02,0.0,0.0,0.0,0.0,0.0,0.38,0.66,0.76,0.44
0.04,0.0,0.0,0.0,0.0,0.0,0.44,0.84,0.68,0.36
0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.82,0.82,0.46
0.04,0.0,0.0,0.0,0.0,0.0,0.48,0.8,0.9,0.56
0.04,0.02,0.0,0.0,0.0,0.0,0.4,0.68,0.76,0.54
0.04,0.02,0.0,0.0,0.0,0.0,0.62,0.6,0.8,0.52
0.06,0.0,0.0,0.0,0.0,0.0,0.58,0.58,0.86,0.46
0.0,0.02,0.0,0.0,0.0,0.0,0.58,0.7,0.76,0.54
0.02,0.32,0.0,0.0,0.0,0.0,0.5,0.66,0.66,0.44
0.02,0.1,0.0,0.0,0.0,0.0,0.48,0.66,0.8,0.4
0.04,0.0,0.0,0.0,0.0,0.0,0.48,0.58,0.8,0.46
0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.64,0.68,0.54
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.74,0.82,0.42
0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.64,0.72,0.54
0.02,0.0,0.0,0.0,0.0,0.0,0.58,0.58,0.88,0.46
0.0,0.12,0.0,0.0,0.0,0.0,0.5,0.76,0.78,0.44
0.04,0.12,0.0,0.0,0.0,0.0,0.46,0.6,0.8,0.58
0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.6,0.74,0.54
0.08,0.22,0.0,0.0,0.0,0.0,0.62,0.74,0.72,0.48
0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.74,0.62,0.48
0.0,0.02,0.0,0.0,0.0,0.0,0.56,0.8,0.58,0.66
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.66,0.76,0.44
0.0,0.02,0.0,0.0,0.0,0.0,0.52,0.56,0.78,0.42
0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.72,0.7,0.46
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.66,0.72,0.44
0.02,0.0,0.0,0.0,0.0,0.0,0.34,0.62,0.78,0.58
0.02,0.02,0.0,0.0,0.0,0.0,0.46,0.74,0.72,0.56
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.72,0.72,0.6
0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.56,0.64,0.6
0.0,0.02,0.0,0.0,0.0,0.0,0.52,0.84,0.74,0.52
0.02,0.0,0.0,0.0,0.0,0.0,0.5,0.84,0.74,0.42
0.16,0.02,0.0,0.0,0.0,0.0,0.58,0.64,0.78,0.48
0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.64,0.74,0.62
0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.64,0.8,0.46
0.04,0.02,0.0,0.0,0.0,0.0,0.46,0.72,0.74,0.48
0.0,0.04,0.0,0.0,0.0,0.0,0.42,0.6,0.74,0.5
0.06,0.02,0.0,0.0,0.0,0.0,0.6,0.66,0.72,0.44
0.08,0.06,0.0,0.0,0.0,0.0,0.32,0.68,0.74,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.7,0.8,0.52
0.04,0.0,0.0,0.0,0.0,0.0,0.38,0.7,0.6,0.58
0.08,0.0,0.0,0.0,0.0,0.0,0.44,0.7,0.8,0.66
0.08,0.0,0.0,0.0,0.0,0.0,0.56,0.64,0.66,0.62
0.04,0.0,0.0,0.0,0.0,0.0,0.44,0.66,0.68,0.54
0.0,0.04,0.0,0.0,0.0,0.0,0.38,0.6,0.82,0.62
0.04,0.0,0.0,0.0,0.0,0.0,0.54,0.74,0.76,0.62
0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.64,0.74,0.52
0.04,0.12,0.0,0.0,0.0,0.0,0.5,0.76,0.74,0.54
0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.72,0.72,0.62
0.04,0.0,0.0,0.0,0.0,0.0,0.52,0.7,0.7,0.46
0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.62,0.9,0.52
0.02,0.0,0.0,0.0,0.0,0.0,0.56,0.64,0.78,0.56
0.06,0.04,0.0,0.0,0.0,0.0,0.6,0.64,0.78,0.42
0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.72,0.82,0.54
0.0,0.02,0.0,0.0,0.0,0.0,0.5,0.7,0.6,0.42
0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.64,0.8,0.52
0.0,0.1,0.0,0.0,0.0,0.0,0.54,0.72,0.78,0.48
0.02,0.0,0.0,0.0,0.0,0.0,0.58,0.7,0.86,0.58
0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.7,0.68,0.44
0.0,0.02,0.0,0.0,0.0,0.0,0.62,0.62,0.74,0.5
0.04,0.02,0.0,0.0,0.0,0.0,0.58,0.68,0.78,0.54
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.6,0.64,0.56
0.0,0.1,0.0,0.0,0.0,0.0,0.64,0.56,0.78,0.46
0.34,0.0,0.0,0.0,0.0,0.0,0.44,0.64,0.76,0.44
0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.58,0.8,0.46
0.04,0.0,0.0,0.0,0.0,0.0,0.46,0.68,0.74,0.54
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.48,0.64,0.46
0.0,0.04,0.0,0.0,0.0,0.0,0.54,0.8,0.68,0.54
0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.58,0.76,0.42
0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.68,0.76,0.54
0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.66,0.86,0.64
0.06,0.1,0.0,0.0,0.0,0.0,0.62,0.66,0.7,0.46
0.02,0.0,0.0,0.0,0.0,0.0,0.54,0.6,0.66,0.58
0.02,0.0,0.0,0.0,0.0,0.0,0.56,0.68,0.8,0.5
0.06,0.0,0.0,0.0,0.0,0.0,0.46,0.68,0.72,0.58
0.0,0.08,0.0,0.0,0.0,0.0,0.5,0.74,0.68,0.46
0.02,0.02,0.0,0.0,0.0,0.0,0.5,0.76,0.84,0.6
0.0,0.02,0.0,0.0,0.0,0.0,0.54,0.64,0.82,0.5
0.06,0.0,0.0,0.0,0.0,0.0,0.54,0.58,0.76,0.52
0.0,0.02,0.0,0.0,0.0,0.0,0.34,0.66,0.6,0.4
0.0,0.04,0.0,0.0,0.0,0.0,0.58,0.68,0.82,0.44
0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.84,0.68,0.3
0.02,0.0,0.0,0.0,0.0,0.0,0.46,0.64,0.7,0.46
0.02,0.0,0.0,0.0,0.0,0.0,0.54,0.68,0.76,0.48
0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.74,0.72,0.46
0.26,0.04,0.0,0.0,0.0,0.0,0.5,0.6,0.8,0.46
0.2,0.0,0.0,0.0,0.0,0.0,0.42,0.72,0.68,0.58
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.62,0.8,0.5
0.14,0.02,0.0,0.0,0.0,0.0,0.56,0.72,0.76,0.58
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.68,0.74,0.66
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.68,0.9,0.44
0.32,0.02,0.0,0.0,0.0,0.0,0.4,0.7,0.72,0.56
0.04,0.0,0.0,0.0,0.0,0.0,0.6,0.72,0.78,0.48
0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.64,0.76,0.52
0.0,0.02,0.0,0.0,0.0,0.0,0.52,0.78,0.7,0.54
0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.78,0.72,0.52
0.08,0.0,0.0,0.0,0.0,0.0,0.52,0.62,0.7,0.5
0.0,0.02,0.0,0.0,0.0,0.0,0.5,0.78,0.8,0.42
0.24,0.0,0.0,0.0,0.0,0.0,0.5,0.6,0.8,0.52
0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.66,0.8,0.64
0.08,0.02,0.0,0.0,0.0,0.0,0.5,0.74,0.78,0.52
0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.6,0.7,0.58
0.04,0.02,0.0,0.0,0.0,0.0,0.44,0.68,0.72,0.5
0.02,0.0,0.0,0.0,0.0,0.0,0.58,0.72,0.74,0.54
0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.64,0.8,0.52
0.02,0.0,0.0,0.0,0.0,0.0,0.46,0.7,0.76,0.52
0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.66,0.82,0.44
0.0,0.22,0.0,0.0,0.0,0.0,0.58,0.82,0.8,0.44
0.04,0.0,0.0,0.0,0.0,0.0,0.52,0.74,0.64,0.58
0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.66,0.84,0.34
0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.7,0.72,0.46
0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.6,0.78,0.64
0.02,0.0,0.0,0.0,0.0,0.0,0.5,0.58,0.74,0.54
0.0,0.02,0.0,0.0,0.0,0.0,0.38,0.68,0.7,0.42
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6,0.8,0.48
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.7,0.64,0.56
0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.6,0.7,0.52
0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.64,0.82,0.42
0.08,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.74,0.54
0.0,0.08,0.0,0.0,0.0,0.0,0.54,0.54,0.7,0.6
0.0,0.04,0.0,0.0,0.0,0.0,0.6,0.68,0.88,0.42
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.72,0.8,0.4
0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.64,0.74,0.54
0.02,0.02,0.0,0.0,0.0,0.0,0.64,0.64,0.78,0.72
0.0,0.12,0.0,0.0,0.0,0.0,0.46,0.62,0.7,0.48
0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.74,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.7,0.68,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.62,0.74,0.5
0.02,0.0,0.0,0.0,0.0,0.0,0.52,0.58,0.78,0.52
0.02,0.1,0.0,0.0,0.0,0.0,0.52,0.62,0.78,0.56
0.04,0.04,0.0,0.0,0.0,0.0,0.54,0.62,0.74,0.5
0.0,0.24,0.02,0.0,0.02,0.0,0.46,0.56,0.86,0.62
0.0,0.06,0.0,0.0,0.0,0.0,0.56,0.7,0.6,0.54
0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.6,0.76,0.56
0.6,0.0,0.0,0.0,0.0,0.0,0.48,0.66,0.74,0.46
0.02,0.0,0.0,0.0,0.0,0.0,0.48,0.6,0.86,0.48
0.02,0.0,0.0,0.0,0.0,0.0,0.54,0.68,0.86,0.5
0.0,0.04,0.0,0.0,0.0,0.0,0.44,0.7,0.76,0.42
0.0,0.02,0.0,0.0,0.0,0.0,0.54,0.7,0.7,0.5
0.02,0.14,0.0,0.0,0.0,0.0,0.38,0.76,0.78,0.4
0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.54,0.78,0.56
0.04,0.04,0.0,0.0,0.0,0.0,0.46,0.56,0.68,0.52
0.0,0.22,0.0,0.0,0.0,0.0,0.52,0.72,0.74,0.6
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.64,0.64,0.58
0.0,0.02,0.0,0.0,0.0,0.0,0.6,0.54,0.7,0.56
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6,0.64,0.54
0.0,0.1,0.0,0.0,0.0,0.0,0.5,0.62,0.7,0.44
0.0,0.04,0.0,0.0,0.0,0.0,0.48,0.78,0.66,0.52
0.02,0.0,0.0,0.0,0.0,0.0,0.42,0.78,0.84,0.42
0.28,0.0,0.0,0.0,0.0,0.0,0.54,0.64,0.6,0.46
0.0,0.04,0.0,0.0,0.0,0.0,0.6,0.66,0.8,0.44
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.76,0.74,0.54
0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.76,0.66,0.48
0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.66,0.72,0.42
0.0,0.1,0.0,0.0,0.0,0.0,0.54,0.6,0.72,0.44
0.08,0.02,0.0,0.0,0.0,0.0,0.58,0.66,0.62,0.6
0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.72,0.84,0.62
0.02,0.14,0.0,0.0,0.0,0.0,0.54,0.7,0.84,0.56
0.02,0.02,0.0,0.0,0.0,0.0,0.5,0.62,0.86,0.54
0.0,0.12,0.0,0.0,0.0,0.0,0.46,0.58,0.8,0.4
0.04,0.0,0.0,0.0,0.0,0.0,0.46,0.72,0.68,0.44
0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.74,0.8,0.5
0.02,0.0,0.0,0.0,0.0,0.0,0.5,0.62,0.82,0.5
0.02,0.04,0.0,0.0,0.0,0.0,0.44,0.6,0.74,0.62
0.0,0.02,0.0,0.0,0.0,0.0,0.58,0.74,0.72,0.54
0.0,0.24,0.0,0.0,0.0,0.0,0.44,0.6,0.74,0.32
0.1,0.0,0.0,0.0,0.0,0.0,0.48,0.76,0.78,0.48
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.84,0.7,0.58
0.02,0.0,0.0,0.0,0.0,0.0,0.44,0.68,0.8,0.42
0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.68,0.8,0.52
0.0,0.02,0.0,0.0,0.0,0.0,0.5,0.7,0.9,0.44
0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.64,0.62,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.74,0.88,0.48
0.0,0.06,0.0,0.0,0.0,0.0,0.44,0.7,0.74,0.58
0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.76,0.82,0.48
0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.68,0.66,0.58
0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.6,0.78,0.64
0.02,0.0,0.0,0.0,0.0,0.0,0.52,0.66,0.7,0.56
0.0,0.04,0.0,0.0,0.0,0.0,0.4,0.74,0.78,0.52
0.0,0.06,0.0,0.0,0.0,0.0,0.58,0.62,0.78,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.72,0.62,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.6,0.74,0.42
0.0,0.1,0.0,0.0,0.0,0.0,0.52,0.72,0.84,0.44
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.54,0.74,0.46
0.0,0.02,0.0,0.0,0.0,0.0,0.38,0.78,0.7,0.48
0.02,0.02,0.0,0.0,0.0,0.0,0.5,0.6,0.78,0.4
0.0,0.04,0.0,0.0,0.0,0.0,0.52,0.72,0.78,0.42
0.02,0.0,0.0,0.0,0.0,0.0,0.46,0.78,0.84,0.44
0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.72,0.78,0.42
0.08,0.0,0.0,0.0,0.0,0.0,0.46,0.62,0.84,0.44
0.0,0.18,0.0,0.0,0.0,0.0,0.56,0.72,0.84,0.46
0.02,0.06,0.0,0.0,0.0,0.0,0.58,0.64,0.78,0.48
0.02,0.72,0.24,0.04,0.28,0.0,0.52,0.68,0.82,0.48
0.02,0.0,0.0,0.0,0.0,0.0,0.44,0.66,0.58,0.52
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.62,0.72,0.48
0.02,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.78,0.48
0.0,0.06,0.0,0.0,0.0,0.0,0.48,0.7,0.74,0.54
0.0,0.12,0.0,0.0,0.0,0.0,0.6,0.68,0.68,0.54
0.02,0.0,0.0,0.0,0.0,0.0,0.48,0.8,0.68,0.62
0.02,0.0,0.0,0.0,0.0,0.0,0.64,0.56,0.7,0.46
0.04,0.0,0.0,0.0,0.0,0.0,0.56,0.76,0.7,0.46
0.02,0.1,0.0,0.0,0.0,0.0,0.5,0.68,0.78,0.5
0.0,0.06,0.0,0.0,0.0,0.0,0.46,0.6,0.7,0.56
0.2,0.08,0.0,0.0,0.0,0.0,0.56,0.54,0.66,0.66
0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.7,0.7,0.36
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.66,0.64,0.54
0.0,0.02,0.0,0.0,0.0,0.0,0.6,0.7,0.8,0.52
0.02,0.02,0.0,0.0,0.0,0.0,0.54,0.68,0.76,0.56
